[cs12252511@csiserver ~]$ ./a.out
Matrix.n NoOfThreads Serial Time Parallel Time
100 			 8 			 0.000340 		 0.000765
200 			 8 			 0.002215 		 0.001797
300 			 8 			 0.007137 		 0.004708
400 			 8 			 0.016384 		 0.009567
500 			 8 			 0.031524 		 0.018320
600 			 8 			 0.053293 		 0.029563
700 			 8 			 0.084298 		 0.046953
800 			 8 			 0.126139 		 0.069173
900 			 8 			 0.180477 		 0.104577
1000 			 8 			 0.245768 		 0.135100
1100 			 8 			 0.328428 		 0.186093
1200 			 8 			 0.424366 		 0.231854
1300 			 8 			 0.540554 		 0.295190
1400 			 8 			 0.672162 		 0.373769
1500 			 8 			 0.821921 		 0.454013
1600 			 8 			 1.006887 		 0.543872
1700 			 8 			 1.200327 		 0.643312
1800 			 8 			 1.416672 		 0.772897
1900 			 8 			 1.673460 		 0.912849
2000 			 8 			 1.949309 		 1.056647
2100 			 8 			 2.188182 		 1.168009
2200 			 8 			 2.552842 		 1.349421
2300 			 8 			 2.921837 		 1.517171
2400 			 8 			 3.370022 		 1.844454
2500 			 8 			 3.824651 		 2.072390
2600 			 8 			 4.276067 		 2.331110
2700 			 8 			 4.819186 		 2.612830
2800 			 8 			 4.825415 		 2.856399
2900 			 8 			 5.671851 		 3.091296
